Zone,City,Station
Coast,Houston,Houston Interncontiental Airport
South,Corpus Christi,Corpus Christi International Airport
South Central,San Antonio,Stinson Municipal Airport
East,Tyler,Tyler TX 
North Central,Dallas,FAA Airport
North,Lubbock,Lubbock International Airport
West,Abilene,Abiliene Regional Airport
Far West,Midland,Midland International
Far West,El Paso,El Paso International (not in ERCOT)
West,San Angelo,Mathis Field Airport
South,Brownsville,Padre Island Airport
South Central,Austin,Bergstrom Internation
North Central,Fort Worth,Alliance Airport
