,bus,p_nom,marginal_cost,min_down_time
N_solar,North,0,3,0
S_solar,South,7000,3,0
W_solar,West,0,3,0
H_solar,Houston,0,3,0
N_wind,North,0,4,0
S_wind,South,5000,4,0
W_wind,West,25000,4,0
H_wind,Houston,0,4,0
N_nuke,North,0,5,100
S_nuke,South,0,5,100
W_nuke,West,0,5,100
H_nuke,Houston,5000,5,100
N_se_gas,North,0,12,6
S_se_gas,South,0,12,6
W_se_gas,West,0,12,6
H_se_gas,Houston,5000,12,6
N_base_gas,North,10000,21,6
S_base_gas,South,10000,21,6
W_base_gas,West,10000,21,6
H_base_gas,Houston,10000,21,6
N_peak_1,North,5000,35,6
S_peak_1,South,5000,35,6
W_peak_1,West,5000,35,6
H_peak_1,Houston,5000,35,6
N_peak_2,North,5000,40,6
S_peak_2,South,5000,40,6
W_peak_2,West,0,40,6
H_peak_2,Houston,5000,40,6
N_peak_3,North,5000,50,6
S_peak_3,South,5000,50,6
W_peak_3,West,5000,50,6
H_peak_3,Houston,5000,50,6
N_oil,North,0,70,6
S_oil,South,0,70,6
W_oil,West,0,70,6
H_oil,Houston,5000,70,6
